;;;
Android Navigation Runtime;androidx.navigation:navigation-runtime:2.4.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/navigation#2.4.0-rc01
Android Navigation Common;androidx.navigation:navigation-common:2.4.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/navigation#2.4.0-rc01
Android Navigation Common Kotlin Extensions;androidx.navigation:navigation-common-ktx:2.4.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/navigation#2.4.0-rc01
Lifecycle ViewModel Compose;androidx.lifecycle:lifecycle-viewmodel-compose:2.4.0;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/lifecycle#2.4.0
Compose Animation;androidx.compose.animation:animation:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-animation#1.1.0-rc01
Compose Layouts;androidx.compose.foundation:foundation-layout:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.1.0-rc01
Compose Animation Core;androidx.compose.animation:animation-core:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-animation#1.1.0-rc01
Accompanist Insets library;com.google.accompanist:accompanist-insets:0.22.0-rc;Apache-2.0;https://github.com/google/accompanist/
Accompanist System UI Controller library;com.google.accompanist:accompanist-systemuicontroller:0.22.0-rc;Apache-2.0;https://github.com/google/accompanist/
Navigation Compose Hilt Integration;androidx.hilt:hilt-navigation-compose:1.0.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/hilt#1.0.0-alpha03
Android Navigation Hilt Extension;androidx.hilt:hilt-navigation:1.0.0;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/hilt#1.0.0
Hilt Android;com.google.dagger:hilt-android:2.40.5;Apache-2.0;https://github.com/google/dagger
Support fragment;androidx.fragment:fragment:1.3.6;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/fragment#1.3.6
Support View Pager;androidx.viewpager:viewpager:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Custom View;androidx.customview:customview:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support loader;androidx.loader:loader:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Android Lifecycle LiveData;androidx.lifecycle:lifecycle-livedata:2.2.0;Apache-2.0;https://developer.android.com/topic/libraries/architecture/index.html
Android Arch-Runtime;androidx.arch.core:core-runtime:2.1.0;Apache-2.0;https://developer.android.com/topic/libraries/architecture/index.html
Hilt Core;com.google.dagger:hilt-core:2.40.5;Apache-2.0;https://github.com/google/dagger
Dagger;com.google.dagger:dagger:2.40.5;Apache-2.0;https://github.com/google/dagger
javax.inject;javax.inject:javax.inject:1;Apache-2.0;http://code.google.com/p/atinject/
FindBugs-jsr305;com.google.code.findbugs:jsr305:3.0.2;Apache-2.0;http://findbugs.sourceforge.net/
Dagger Lint Rules AAR Distribution;com.google.dagger:dagger-lint-aar:2.40.5;Apache-2.0;https://github.com/google/dagger
Compose Material Components;androidx.compose.material:material:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-material#1.1.0-rc01
Compose Material Ripple;androidx.compose.material:material-ripple:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-material#1.1.0-rc01
Compose Foundation;androidx.compose.foundation:foundation:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.1.0-rc01
Compose Material Icons Core;androidx.compose.material:material-icons-core:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-material#1.1.0-rc01
Compose LiveData integration;androidx.compose.runtime:runtime-livedata:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.1.0-rc01
Compose Tooling;androidx.compose.ui:ui-tooling:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-ui#1.1.0-rc01
Compose Tooling API;androidx.compose.ui:ui-tooling-preview:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-ui#1.1.0-rc01
Compose Tooling Data;androidx.compose.ui:ui-tooling-data:1.1.0-rc01;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/compose-ui#1.1.0-rc01
coil-compose;io.coil-kt:coil-compose:1.4.0;Apache-2.0;https://github.com/coil-kt/coil
coil-compose-base;io.coil-kt:coil-compose-base:1.4.0;Apache-2.0;https://github.com/coil-kt/coil
coil-base;io.coil-kt:coil-base:1.4.0;Apache-2.0;https://github.com/coil-kt/coil
okhttp;com.squareup.okhttp3:okhttp:4.9.0;Apache-2.0;https://square.github.io/okhttp/
Okio;com.squareup.okio:okio:2.10.0;Apache-2.0;https://github.com/square/okio/
Android Lifecycle-Common for Java 8 Language;androidx.lifecycle:lifecycle-common-java8:2.3.1;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1
coil;io.coil-kt:coil:1.4.0;Apache-2.0;https://github.com/coil-kt/coil
AboutLibraries Library;com.mikepenz:aboutlibraries-compose-android:10.0.0-b08;Apache-2.0;https://github.com/mikepenz/AboutLibraries
Android AppCompat Library;androidx.appcompat:appcompat:1.4.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/appcompat#1.4.0-alpha03
Android Resources Library;androidx.appcompat:appcompat-resources:1.4.0-alpha03;Apache-2.0;https://developer.android.com/jetpack/androidx/releases/appcompat#1.4.0-alpha03
Support AnimatedVectorDrawable;androidx.vectordrawable:vectordrawable-animated:1.1.0;Apache-2.0;https://developer.android.com/jetpack/androidx
Support VectorDrawable;androidx.vectordrawable:vectordrawable:1.1.0;Apache-2.0;https://developer.android.com/jetpack/androidx
Support Interpolators;androidx.interpolator:interpolator:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Drawer Layout;androidx.drawerlayout:drawerlayout:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Cursor Adapter;androidx.cursoradapter:cursoradapter:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Palette Kotlin Extensions;androidx.palette:palette-ktx:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Palette v7;androidx.palette:palette:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support core utils;androidx.legacy:legacy-support-core-utils:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
Support Document File;androidx.documentfile:documentfile:1.0.0;Apache-2.0;http://developer.android.com/tools/extras/support-library.html
